Modulator	Frequency (Hz)	Amplitude	Amplitude (dB)	Level	Waveform	Coarse Tuning	Fine Tuning	Suggested Frequency (Hz)	MIDI Value	Note Name	Base Note
Modulator 1	147.12487346196065	8.669343236415607	-2.823900963595271	0.7224452697013005	sine_wave	1.0	0	147.12487346196065	50.03445180830602	D3	Yes
Modulator 2	74.84902824653278	3.855501635228702	-9.862007087799022	0.3212918029357252	sine_wave	0.5	17	74.81299815540699	38.326287958650965	D2	No
Modulator 3	520.8089773203918	0.2650755446648064	-33.116231671989624	0.022089628722067205	sine_wave	2.0	770	520.8220520553407	71.91944413200528	B4	No
Modulator 4	820.1901093993894	1.1412204520214737	-20.43623399843224	0.09510170433512281	sine_wave	5.0	115	820.2211695504305	79.78211346870133	G5	No
