freq_start	freq_stop	time_start	time_stop	amp_min	amp_max
142.85714285714283	142.85714285714283	0.03	1.0	0.4947241883005356	0.4947241883005356
257.1428571428571	257.1428571428571	0.03	1.0	0.4777120478216665	0.4777120478216665
314.2857142857143	314.2857142857143	0.03	1.0	0.4657992925724378	0.4657992925724378
371.4285714285714	371.4285714285714	0.03	1.0	0.5119942756733572	0.5119942756733572
485.71428571428567	485.71428571428567	0.03	1.0	0.5672312045785042	0.5672312045785042
542.8571428571428	542.8571428571428	0.03	1.0	0.6047475671540723	0.6047475671540723
657.1428571428571	657.1428571428571	0.03	1.0	0.7206908181706946	0.7206908181706946
771.4285714285713	771.4285714285713	0.03	1.0	0.2341373400261157	0.2341373400261157
914.2857142857142	914.2857142857142	0.03	1.0	0.5338414864983042	0.5338414864983042
1028.5714285714284	1028.5714285714284	0.03	1.0	0.7179233670476471	0.7179233670476471
1114.2857142857142	1114.2857142857142	0.03	1.0	0.5051651635300354	0.5051651635300354
1200.0	1200.0	0.03	1.0	1.0	1.0
1314.2857142857142	1314.2857142857142	0.03	1.0	0.1145382617217454	0.1145382617217454
1428.5714285714284	1428.5714285714284	0.03	1.0	0.0791915661071657	0.0791915661071657
1542.8571428571427	1542.8571428571427	0.03	1.0	0.4377261729885745	0.4377261729885745
1742.8571428571427	1742.8571428571427	0.03	1.0	0.0994371602087871	0.0994371602087871
1828.5714285714284	1828.5714285714284	0.03	1.0	0.0716211686598987	0.0716211686598987
2000.0	2000.0	0.03	1.0	0.3874599823059722	0.3874599823059722
2257.142857142857	2257.142857142857	0.03	1.0	0.1118469963860058	0.1118469963860058
2400.0	2400.0	0.03	1.0	0.2693734190829766	0.2693734190829766
2600.0	2600.0	0.03	1.0	0.0902767538797605	0.0902767538797605
2742.857142857142	2742.857142857142	0.03	1.0	0.0323854306737153	0.0323854306737153
2828.5714285714284	2828.5714285714284	0.03	1.0	0.0374261785172578	0.0374261785172578
2885.714285714286	2885.714285714286	0.03	1.0	0.0767637099892926	0.0767637099892926
3200.0	3200.0	0.03	1.0	0.0256915431166871	0.0256915431166871
3314.285714285714	3314.285714285714	0.03	1.0	0.0332147999917175	0.0332147999917175
3457.142857142857	3457.142857142857	0.03	1.0	0.057570032687373	0.057570032687373
3542.857142857142	3542.857142857142	0.03	1.0	0.0683784329141872	0.0683784329141872
3628.571428571429	3628.571428571429	0.03	1.0	0.0433716932254055	0.0433716932254055
3857.142857142857	3857.142857142857	0.03	1.0	0.0300567462862169	0.0300567462862169
3971.428571428571	3971.428571428571	0.03	1.0	0.0417260868321578	0.0417260868321578
4142.857142857142	4142.857142857142	0.03	1.0	0.0253534827914612	0.0253534827914612
4942.857142857142	4942.857142857142	0.03	1.0	0.0291096455479971	0.0291096455479971
6314.285714285714	6314.285714285714	0.03	1.0	0.023952819142707	0.023952819142707
60.0	60.0	1.0	2.0	0.0448879651944026	0.0448879651944026
160.0	160.0	1.0	2.0	0.1436691513253229	0.1436691513253229
260.0	260.0	1.0	2.0	0.068412113235379	0.068412113235379
380.0	380.0	1.0	2.0	0.0354360298218431	0.0354360298218431
480.0	480.0	1.0	2.0	0.2852197676896417	0.2852197676896417
560.0	560.0	1.0	2.0	0.0535683089749734	0.0535683089749734
640.0	640.0	1.0	2.0	0.3902324056306991	0.3902324056306991
700.0	700.0	1.0	2.0	0.0497348582755404	0.0497348582755404
760.0	760.0	1.0	2.0	0.0337833904089972	0.0337833904089972
820.0	820.0	1.0	2.0	0.079632903011648	0.079632903011648
900.0	900.0	1.0	2.0	0.0550083000637265	0.0550083000637265
960.0	960.0	1.0	2.0	0.0601770104672736	0.0601770104672736
1040.0	1040.0	1.0	2.0	0.1326476997062824	0.1326476997062824
1100.0	1100.0	1.0	2.0	0.057267041458279	0.057267041458279
1200.0	1200.0	1.0	2.0	0.2726609472558728	0.2726609472558728
1440.0	1440.0	1.0	2.0	0.029235673558042	0.029235673558042
1560.0	1560.0	1.0	2.0	0.0443727735341972	0.0443727735341972
1940.0	1940.0	1.0	2.0	0.0230455175418212	0.0230455175418212
2020.0	2020.0	1.0	2.0	0.026461576764554	0.026461576764554
480.0	480.0	2.0	4.0	0.0919418985558393	0.0919418985558393
640.0	640.0	2.0	4.0	0.044141747592895	0.044141747592895
790.0	790.0	2.0	4.0	0.043021655819141	0.043021655819141
