Frequency (Hz)	Amplitude
173.33333333333331	0.00010976648213180203
182.66666666666666	0.0002603763679502792
190.66666666666666	0.00022568515651070112
201.33333333333331	0.0002598279793990903
208.0	0.0007571626825363929
216.0	0.00021594236458225287
218.66666666666666	0.00019670960479386846
228.0	0.00013839934016589788
241.33333333333331	0.00013041065737804614
250.66666666666666	0.0001081405361168777
277.3333333333333	0.00020332738739234523
289.3333333333333	0.00025936947001776805
309.3333333333333	0.00068623971450379
314.66666666666663	0.002784792260062985
328.0	0.0008783268639307836
340.0	0.00037075464555288724
461.3333333333333	0.00038954152159581214
585.3333333333333	0.00011011442422035224
610.6666666666666	0.00019225603038052012
628.0	0.0003028943261070244
634.6666666666666	0.00018918779194334223
660.0	0.00022225604960839055
666.6666666666666	0.00048456715475093666
698.6666666666666	0.00014204949152522134
704.0	0.00011146264882467381
809.3333333333333	8.285311802093494e-05
885.3333333333333	0.0001286243333809548
922.6666666666666	0.000732825328470195
929.3333333333333	0.0008542270882073383
944.0	0.00022848017654260127
946.6666666666666	0.0003234757304832693
952.0	0.00015179545264325348
957.3333333333333	0.00012138928853478832
966.6666666666666	0.00012518931839192795
982.6666666666666	0.00013170689531674348
1001.3333333333333	9.297712570247728e-05
1014.6666666666666	9.081265146311987e-05
1244.0	0.00017830317146300812
1262.6666666666665	9.285084270252505e-05
1332.0	0.00017504312698875504
1566.6666666666665	0.0001307987524891071
1585.3333333333333	0.00013421049910925705
1593.3333333333333	0.00016022102170041422
1606.6666666666665	0.00018393744743173994
1722.6666666666665	9.866102973337452e-05
1772.0	0.00012141918422661316
1781.3333333333333	0.00010616153193757281
1805.3333333333333	9.080672854226207e-05
1814.6666666666665	9.031954160747122e-05
1864.0	0.00011487903870645015
1900.0	9.606685110548332e-05
2158.6666666666665	9.971679581359855e-05
2209.333333333333	0.0005465639657522754
2217.333333333333	0.00016531703371909862
2549.333333333333	9.520340766274899e-05
2610.6666666666665	0.00013567020985030768
2853.333333333333	0.0001802114735028831
2866.6666666666665	0.00010514442401196464
2880.0	0.0002431396007821014
2886.6666666666665	0.0004987481444065005
2904.0	0.0001131495148082755
2920.0	0.00021251028495027741
4330.666666666666	0.00010566301521690534
4337.333333333333	0.00011693511810983392
6010.666666666666	8.348745178911103e-05
