Frequency (Hz)	Amplitude
31.25	0.0005687449103935572
75.0	0.0008703650081436973
127.5	0.0005403567422227674
238.75	0.0030739620784412266
321.25	0.0024684119351635475
393.75	0.0008649942330715713
398.75	0.0009237491133104977
518.75	0.0008487943653878638
546.25	0.0005669206050110825
600.0	0.0017391013846919715
