freq_start	freq_stop	time_start	time_stop	amp_min	amp_max
31.25	31.25	0.0	15.0	0.18502014529792424	0.18502014529792424
75.0	75.0	0.0	15.0	0.283141101267248	0.283141101267248
127.5	127.5	0.0	15.0	0.1757851035354066	0.1757851035354066
238.75	238.75	0.0	15.0	1.0	1.0
321.25	321.25	0.0	15.0	0.8030066318889745	0.8030066318889745
393.75	393.75	0.0	15.0	0.281393918011551	0.281393918011551
398.75	398.75	0.0	15.0	0.30050764769968513	0.30050764769968513
518.75	518.75	0.0	15.0	0.27612388953679673	0.27612388953679673
546.25	546.25	0.0	15.0	0.18442667493753997	0.18442667493753997
600.0	600.0	0.0	15.0	0.5657523874119471	0.5657523874119471
