Modulator	Frequency (Hz)	Amplitude	Waveform
1	179.32976352326023	0.9480487628150518	sawtooth_wave
2	523.7725398700352	0.10248351396943495	sine_wave
3	297.05321111276	0.3321346643253397	sine_wave
4	198.66152442092198	0.15194556652803562	sine_wave
