Frequency (Hz)	Amplitude
73.6842105263158	0.005356304858926622
136.84210526315792	0.004394900887090287
147.3684210526316	0.10295315567589643
223.6842105263158	0.011307073843267344
297.3684210526316	0.035448309564458956
371.0526315789474	0.005977129248068386
442.1052631578948	0.0028796753835266162
447.3684210526316	0.006474450357022833
521.0526315789474	0.01102033757656485
594.7368421052632	0.002818226358750314
818.421052631579	0.002758788271806914
894.7368421052632	0.00214112983736075
965.7894736842106	0.002435627951587025
1263.157894736842	0.0026146253346438124
