freq_start	freq_stop	time_start	time_stop	amp_min	amp_max
71.42857142857142	71.42857142857142	0.03	1.0	0.4819001580641818	0.4819001580641818
128.57142857142856	128.57142857142856	0.03	1.0	0.5252795227904719	0.5252795227904719
157.14285714285714	157.14285714285714	0.03	1.0	0.5565496043074398	0.5565496043074398
200.0	200.0	0.03	1.0	0.567890927354589	0.567890927354589
242.85714285714283	242.85714285714283	0.03	1.0	0.7405214939477719	0.7405214939477719
271.4285714285714	271.4285714285714	0.03	1.0	0.5877381483131819	0.5877381483131819
328.57142857142856	328.57142857142856	0.03	1.0	0.7338420481472664	0.7338420481472664
385.71428571428567	385.71428571428567	0.03	1.0	0.3690663548659015	0.3690663548659015
457.1428571428571	457.1428571428571	0.03	1.0	0.5891578737109684	0.5891578737109684
485.71428571428567	485.71428571428567	0.03	1.0	0.5068970459526955	0.5068970459526955
514.2857142857142	514.2857142857142	0.03	1.0	0.7238937207736754	0.7238937207736754
542.8571428571428	542.8571428571428	0.03	1.0	0.5195994325350205	0.5195994325350205
600.0	600.0	0.03	1.0	1.0	1.0
642.8571428571428	642.8571428571428	0.03	1.0	0.177171055369458	0.177171055369458
714.2857142857142	714.2857142857142	0.03	1.0	0.1089704952859534	0.1089704952859534
771.4285714285713	771.4285714285713	0.03	1.0	0.4055499249791133	0.4055499249791133
828.5714285714286	828.5714285714286	0.03	1.0	0.0638240551320109	0.0638240551320109
871.4285714285713	871.4285714285713	0.03	1.0	0.1085717649600589	0.1085717649600589
914.2857142857142	914.2857142857142	0.03	1.0	0.1086984686428992	0.1086984686428992
1000.0	1000.0	0.03	1.0	0.3568776853084229	0.3568776853084229
1100.0	1100.0	0.03	1.0	0.0684101171579437	0.0684101171579437
1128.5714285714284	1128.5714285714284	0.03	1.0	0.1249009339643899	0.1249009339643899
1200.0	1200.0	0.03	1.0	0.2160616359192257	0.2160616359192257
1271.428571428571	1271.428571428571	0.03	1.0	0.0694575714073006	0.0694575714073006
1300.0	1300.0	0.03	1.0	0.089242147883033	0.089242147883033
1371.428571428571	1371.428571428571	0.03	1.0	0.0424072392471472	0.0424072392471472
1414.2857142857142	1414.2857142857142	0.03	1.0	0.0412987814361678	0.0412987814361678
1442.857142857143	1442.857142857143	0.03	1.0	0.0823612148547132	0.0823612148547132
1528.5714285714284	1528.5714285714284	0.03	1.0	0.0205066319252742	0.0205066319252742
1600.0	1600.0	0.03	1.0	0.0304917459736154	0.0304917459736154
1642.857142857143	1642.857142857143	0.03	1.0	0.0357989878599517	0.0357989878599517
1728.5714285714284	1728.5714285714284	0.03	1.0	0.0550023187134821	0.0550023187134821
1771.428571428571	1771.428571428571	0.03	1.0	0.0740083589095235	0.0740083589095235
1814.2857142857144	1814.2857142857144	0.03	1.0	0.0523846308811644	0.0523846308811644
1871.4285714285716	1871.4285714285716	0.03	1.0	0.0245174877726115	0.0245174877726115
1900.0	1900.0	0.03	1.0	0.0252048321512393	0.0252048321512393
1928.5714285714284	1928.5714285714284	0.03	1.0	0.0373036819217312	0.0373036819217312
1985.7142857142856	1985.7142857142856	0.03	1.0	0.0417572488983355	0.0417572488983355
2028.5714285714284	2028.5714285714284	0.03	1.0	0.0238056435597561	0.0238056435597561
2071.428571428571	2071.428571428571	0.03	1.0	0.0299379284036978	0.0299379284036978
2114.285714285714	2114.285714285714	0.03	1.0	0.0216796355694203	0.0216796355694203
2200.0	2200.0	0.03	1.0	0.0178909336136637	0.0178909336136637
2257.142857142857	2257.142857142857	0.03	1.0	0.0259821462924725	0.0259821462924725
2400.0	2400.0	0.03	1.0	0.017508797632889	0.017508797632889
2442.8571428571427	2442.8571428571427	0.03	1.0	0.0334519890825715	0.0334519890825715
2485.7142857142853	2485.7142857142853	0.03	1.0	0.0322188054250963	0.0322188054250963
2557.142857142857	2557.142857142857	0.03	1.0	0.02234413014327	0.02234413014327
2614.285714285714	2614.285714285714	0.03	1.0	0.0252617175078526	0.0252617175078526
2657.142857142857	2657.142857142857	0.03	1.0	0.0202175064566504	0.0202175064566504
2800.0	2800.0	0.03	1.0	0.0233378558249476	0.0233378558249476
3171.428571428571	3171.428571428571	0.03	1.0	0.0237538284189744	0.0237538284189744
30.0	30.0	1.0	2.0	0.0601234108798648	0.0601234108798648
80.0	80.0	1.0	2.0	0.1909354139048531	0.1909354139048531
120.0	120.0	1.0	2.0	0.0844855104430816	0.0844855104430816
160.0	160.0	1.0	2.0	0.0352906020175659	0.0352906020175659
190.0	190.0	1.0	2.0	0.0409352497763864	0.0409352497763864
210.0	210.0	1.0	2.0	0.0513251315408544	0.0513251315408544
240.0	240.0	1.0	2.0	0.3369202536517531	0.3369202536517531
280.0	280.0	1.0	2.0	0.0560564182141197	0.0560564182141197
320.0	320.0	1.0	2.0	0.5279731437465227	0.5279731437465227
370.0	370.0	1.0	2.0	0.0630756829098874	0.0630756829098874
390.0	390.0	1.0	2.0	0.091045167199628	0.091045167199628
450.0	450.0	1.0	2.0	0.0701729935984814	0.0701729935984814
500.0	500.0	1.0	2.0	0.0841317199841513	0.0841317199841513
520.0	520.0	1.0	2.0	0.163694747279455	0.163694747279455
550.0	550.0	1.0	2.0	0.0477284424491669	0.0477284424491669
600.0	600.0	1.0	2.0	0.4395198482812167	0.4395198482812167
670.0	670.0	1.0	2.0	0.0274317960226343	0.0274317960226343
720.0	720.0	1.0	2.0	0.0336264307972935	0.0336264307972935
780.0	780.0	1.0	2.0	0.0798126006094533	0.0798126006094533
850.0	850.0	1.0	2.0	0.0420177859508638	0.0420177859508638
