Frequency (Hz)	Amplitude
97.36842105263159	0.000964799109327737
105.26315789473685	0.005521372042978379
110.5263157894737	0.002422768884723336
194.73684210526318	0.001350693450483979
202.63157894736844	0.0035174180462654208
210.5263157894737	0.007408396886143315
215.78947368421055	0.005466871363248376
223.6842105263158	0.004953973284142771
228.94736842105266	0.003144150569654996
292.10526315789474	0.001261322077622288
300.0	0.003322396529060078
307.89473684210526	0.007188745326709449
313.15789473684214	0.007562023001684338
321.0526315789474	0.0070833674490864175
328.94736842105266	0.0057019150079667975
334.2105263157895	0.003477741878192211
339.47368421052636	0.002441090239014934
344.7368421052632	0.001953713018008072
407.8947368421053	0.0012215557600833403
415.7894736842106	0.0017164210428016677
426.3157894736842	0.001467636403569265
434.2105263157895	0.0018477077660713215
439.47368421052636	0.00137127995408786
513.1578947368422	0.000760314319175159
518.421052631579	0.000627919893755582
528.9473684210527	0.0005749280944175225
539.4736842105264	0.0006007691438291235
2239.4736842105267	0.0005226545273162648
2257.8947368421054	0.0006431480666991205
2265.789473684211	0.0006238136960215461
2278.947368421053	0.0007215694012896542
2313.157894736842	0.0007252185241692389
2323.684210526316	0.0008114118575489542
2331.5789473684213	0.0010728842005843105
2344.7368421052633	0.0007515724909371037
2360.5263157894738	0.0010901648421076722
2381.5789473684213	0.0007730268353071546
2392.105263157895	0.0006452500721762969
2397.3684210526317	0.0008912004428398748
2952.631578947369	0.0005222355690936516
3055.263157894737	0.0005531601786835547
